Código MP;Nome MP;Volume Anual (kg);Preço Referência (USD);Fornecedor Selecionado;Estado Fornecedor;Homologado;Preço (USD);Custo Projetado (USD);Saving Unitário (USD);Saving Unitário (%);Saving Total (USD);Lote Mínimo (MOQ);Lead Time c/ Estoque;Lead Time s/ Estoque;Status;Ação / Observação;Data Decisão
MP0491;EXTRATO DE FLOR DE LOTUS (EXTRATO GLICÓLICO FLOR DE LOTUS);3,78;2,1500;BARUQUIMICA;SP;Não;2,1481;8,12;-0,0019;-0,09;-0,01;;;8 dias úteis;DECIDIDO;;23/03/2026
MP0003;EDTA DISSODICO;2970,47;2,4800;KHOL QUIMICA2;ES;Não - Homologar;2,2800;;;;;25;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;21/03/2026
MP0006;HIDROXIETILCELULOSE;8713,09;7,6700;MAIAN;ES;Não - Homologar;3,5719;;;;;;imediato;30 a 60 dias;A HOMOLOGAR;;21/03/2026
MP0012;SUN QUART CT50 (QUATERNÁRIO DE AMÔNIO 16-50);57567,66;2,1000;CHEMAX;ES;Não - Homologar;2,4800;;;;;90;2;;A HOMOLOGAR;;21/03/2026
MP0013;GLICERINA VEGETAL BIDESTILADA;60621,44;0,9600;Oxigen;ES;Não - Homologar;1,2985;;;;;;IMEDIATO;5 DIAS;A HOMOLOGAR;;21/03/2026
MP0014;GLASIK 700 - POLIQUATERNIUM 7;50530,44;0,9100;KHOL QUIMICA2;ES;Não - Homologar;0,6500;;;;;200;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;21/03/2026
MP0016;EXTRATO DE BURITI;305,94;4,9600;BARUQUIMICA;ES;Não - Homologar;2,1462;;;;;;;8 dias úteis;A HOMOLOGAR;;21/03/2026
MP0018;OLEO DE SEMENTE DE UVA (ÓLEO VEGETAL DE SEMENTE DE UVA);5209,59;4,3400;KHOL QUIMICA2;ES;Não - Homologar;2,4300;;;;;50;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;21/03/2026
MP0019;MANTEIGA DE MURUMURU;3584,64;8,7100;KHOL QUIMICA2;ES;Não - Homologar;5,1000;;;;;4;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;21/03/2026
MP0020;MANTEIGA DE CACAU;2550,34;7,7400;KHOL QUIMICA2;ES;Não - Homologar;5,8300;;;;;4;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;21/03/2026
MP0022;GOMA GUAR QUATERNIZADA / JAGUAR C-13S;3022,09;11,5000;KHOL QUIMICA2;ES;Não - Homologar;8,5000;;;;;5;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;21/03/2026
MP0023;MANTEIGA DE KARITE;3553,43;4,5400;KHOL QUIMICA2;ES;Não - Homologar;3,9400;;;;;15;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;21/03/2026
